100371270,1617975407055,897,IEXG,TSLA,IEX,,100,676.3100,,N,-128
100371335,1617975407056,674,IEXG,TSLA,IEX,,20,676.3100,,N,-96
1004466656,1617984749302,661,IEXG,TSLA,IEX,,30,674.5500,,N,32
1004466934,1617984749306,99,IEXG,TSLA,IEX,,13,674.5300,,N,-96
1004540394,1617984750506,299,IEXG,TSLA,IEX,,30,674.5100,,N,32
1004543961,1617984750538,731,IEXG,TSLA,IEX,,30,674.5300,,N,32
1004546679,1617984750596,585,IEXG,TSLA,IEX,,30,674.6600,,N,32
1004547323,1617984750602,608,IEXG,TSLA,IEX,,10,674.6700,,N,32
1004548020,1617984750615,479,IEXG,TSLA,IEX,,100,674.7000,,N,0
1004548680,1617984750629,75,IEXG,TSLA,IEX,,30,674.7100,,N,32
1004549154,1617984750634,356,IEXG,TSLA,IEX,,30,674.7500,,N,32
1004549159,1617984750634,356,IEXG,TSLA,IEX,,100,674.7500,,N,0
1004564881,1617984750941,713,IEXG,TSLA,IEX,,97,674.7300,,N,32
1004806668,1617984755778,50,IEXG,TSLA,IEX,,100,674.7400,,N,-128
1004806676,1617984755778,50,IEXG,TSLA,IEX,,33,674.7400,,N,-96
1005112979,1617984762422,184,IEXG,TSLA,IEX,,90,674.6900,,N,32
1005304596,1617984766357,289,IEXG,TSLA,IEX,,30,674.5900,,N,32
1005339334,1617984766602,557,IEXG,TSLA,IEX,,15,674.5700,,N,32
1006204933,1617984780986,852,IEXG,TSLA,IEX,,15,674.4000,,N,32
1006309401,1617984782628,325,IEXG,TSLA,IEX,,14,674.3400,,N,32
1006309435,1617984782628,920,IEXG,TSLA,IEX,,8,674.3400,,N,32
1006334017,1617984783106,519,IEXG,TSLA,IEX,,8,674.3400,,N,32
1006381640,1617984783932,388,IEXG,TSLA,IEX,,30,674.2600,,N,-96
1006617918,1617984786302,960,IEXG,TSLA,IEX,,30,674.1500,,N,32
1006617923,1617984786302,960,IEXG,TSLA,IEX,,19,674.1400,,N,32
1006829512,1617984789811,796,IEXG,TSLA,IEX,,33,674.0600,,N,-96
1006829518,1617984789811,796,IEXG,TSLA,IEX,,64,674.0600,,N,-96
1007300476,1617984796843,763,IEXG,TSLA,IEX,,10,673.8350,,N,32
1007327970,1617984797452,35,IEXG,TSLA,IEX,,10,673.8400,,N,32
1007422660,1617984799100,319,IEXG,AMZN,IEX,,2,3353.0200,,N,32
1007438407,1617984799287,796,IEXG,AMZN,IEX,,1,3353.0200,,N,32
1007700850,1617984804717,888,IEXG,TSLA,IEX,,100,673.7600,,N,-128
1007700856,1617984804717,888,IEXG,TSLA,IEX,,33,673.7600,,N,-96
1007837303,1617984807612,81,IEXG,TSLA,IEX,,1,673.8100,,N,-96
1007837314,1617984807612,81,IEXG,TSLA,IEX,,1,673.8100,,N,-96
1007837334,1617984807612,289,IEXG,TSLA,IEX,,99,673.7900,,N,32
1007843828,1617984807756,689,IEXG,AMZN,IEX,,100,3352.0200,,N,0
1007877744,1617984808135,29,IEXG,GOOGL,IEX,,30,2256.9550,,N,32
1007877806,1617984808135,566,IEXG,GOOGL,IEX,,5,2256.6300,,N,-96
1007951021,1617984809414,307,IEXG,TSLA,IEX,,100,673.8300,,N,0
1007954880,1617984809480,420,IEXG,TSLA,IEX,,68,673.9200,,N,-96
1007967333,1617984809694,582,IEXG,TSLA,IEX,,118,673.9700,,N,0
1008049456,1617984810908,61,IEXG,TSLA,IEX,,40,673.9900,,N,32
1008050685,1617984810928,966,IEXG,TSLA,IEX,,2,674.0100,,N,-96
